ident,text,items,faults,actions
103470,NUMBER TWO INTAKE LEAKING . REMOVED AND REPLACED NUMBER TWO INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
103471,NUMBER THREE ROCKER COVER LEAKING . REMOVED AND REPLACED NUMBER THREE ROCKER COVER GASKET .,rocker cover; rocker cover gasket,leaking,removed; replaced
103472,NUMBER FOUR ROCKER COVER GASKET LEAKING . REMOVED AND REPLACED GASKET .,rocker cover gasket; gasket,leaking,removed; replaced
103473,NUMBER ONE INTAKE GASKET LEAKING . REMOVED AND REPLACED INTAKE GASKET .,intake gasket,leaking,removed; replaced
103474,NUMBER TWO CYLINDER INTAKE GASKET LEAKING . REMOVED AND REPLACED INTAKE GASKET .,cylinder; intake gasket,leaking,removed; replaced
103475,NUMBER TWO AND NUMBER FOUR INTAKES ARE LEAKING . REPLACED NUMBER TWO AND NUMBER FOUR INTAKE GASKETS .,intakes; intake gaskets,leaking,replaced
103476,"NUMBERS TWO , THREE , AND FOUR ROCKER COVERS ARE LEAKING . REPLACED ROCKER COVER GASKETS .",rocker covers; rocker cover gaskets,leaking,replaced
103477,NUMBER FOUR INTAKE GASKET LEAKING . REMOVED AND REPLACED NUMBER FOUR INTAKE GASKET .,intake gasket,leaking,removed; replaced
103478,LOW COMPRESSION ON NUMBER THREE CYLINDER . RAN UP AIRCRAFT AND PERFORMED COMPRESSION TEST ON NUMBER THREE CYLINDER . COMPRESSION,cylinder; aircraft,low,ran up; compression test
103479,"NUMBERS ONE , TWO , THREE AND FOUR INTAKE GASKETS LEAKING . REPLACED INTAKE GASKETS , LEAK CHECK GOOD .",intake gaskets,leaking,replaced; leak check
103480,"NUMBER ONE OIL RETURN LINE LEAKING . TIGHTENED CYLINDER NUMBER ONE OIL RETURN LINE CLAMPS , LEAK CHECK GOOD .",oil return line; cylinder; clamps,leaking,tightened; leak check
103481,NUMBER THREE CYLINDER BAFFLE PLUG DAMAGED . REMOVED AND REPLACED BAFFLE PLUG .,cylinder; baffle plug,damaged,removed; replaced
103482,NUMBER THREE IGNITION LEAD STANDOFF IS BROKEN . INSTALLED NEW STANDOFF .,ignition; standoff,broken,installed
103483,NUMBER THREE AND NUMBER FOUR ROCKER COVERS LEAKING . NUMBER SECOND SECOND SECOND SECOND SECOND SECOND SECOND SECOND SECOND SECOND SECOND SECOND SECOND .,rocker covers,leaking,
103484,NUMBER THREE AND NUMBER FOUR ROCKER COVERS LEAKING . REMOVED AND REPLACED GASKETS ON NUMBER THREE AND NUMBER FOUR CYLINDERS .,rocker covers; gaskets; cylinders,leaking,removed; replaced
103485,"NUMBER TWO INTAKE GASKET TORN AND NUMBER FOUR . REMOVED MUFFLER SHROUD , OIL FILTER , NUMBER TWO , AND NUMBER FOUR INTAKE TUBES ,",intake gasket; muffler shroud; oil filter; intake tubes,torn,removed
103486,NUMBER ONE AND NUMBER TWO ROCKER GASKETS ARE LEAKING . REMOVED AND REPLACED ROCKER COVER GASKETS .,rocker gaskets; rocker cover gaskets,leaking,removed; replaced
103487,NUMBER THREE AFT BAFFLE BRACKET RIVETS HAVE PULLED THROUGH BRACKET . REPLACED WITH NEW BAFFLE .,baffle bracket; rivets; bracket; baffle,pulled through,replaced
103488,START ASSIST NEEDED . STARTED AIRCRAFT .,aircraft,,start assist; started
103489,CYLINDER NUMBER THREE INTAKE LEAKING . REMOVED AND REPLACED CYLINDER NUMBER THREE INTAKE GASKET .,cylinder; intake; intake gasket,leaking,removed; replaced
103490,"CYLINDER NUMBER FOUR BAFFLE HOLE , PLUG WORN . REPAIRED WITH RIVETED DOUBLER AND REPLACED BAFFLE PLUG .","cylinder; baffle hole , plug; doubler; baffle plug",worn,repaired; riveted; replaced
103491,"CYLINDER NUMBER TWO , AND NUMBER FOUR INTAKE TUBES LEAKING AT FLEXIBLE TUBE CONNECTION . DETERIMED LEAKS WERE COMING FROM INTAKE FLANGES . REMOVE",cylinder; intake tubes; flexible tube; intake flanges,leaking; leaks,deterimed; remove
103492,NUMBER TWO AND NUMBER THREE INDUCTION TUBE GASKETS LEAKING . INSTALLED NEW INDUCTION TUBE GASKETS .,induction tube gaskets,leaking,installed
103493,NUMBER THREE INTAKE LEAKING ON LEFT-HAND ENGINE . REMOVED AND REPLACED INTAKE GASKET .,intake; engine; intake gasket,leaking,removed; replaced
103494,NUMBER ONE ROCKER COVER LEAKING ON RIGHT-HAND ENGINE . REMOVED AND REPLACED ROCKER COVER .,rocker cover; engine,leaking,removed; replaced
103495,"INTAKES TWO , THREE AND FOUR LEAKING ON RIGHT-HAND ENGINE . REPLACED INTAKE GASKETS ON RIGHT-HAND ENGINE .",intakes; engine; intake gaskets,leaking,replaced
103496,"CRACKS IN BAFFLE , FORWARD RIGHT-HAND SIDE . REMOVED ALTERNATOR , WIRES AND BAFFLE SPRING TO REMOVE ASS",baffle; alternator; wires; baffle spring,cracks,removed; remove
103497,"CRACKS IN BAFFLE , FORWARD RIGHT-HAND SIDE . COMPLETED PATCH WITH SAM MATERIAL AND PAINTED IN ACCORDANCE WITH SAM MATERIAL AND PAINTED IN ACCORDANCE WITH SAM MATERIAL AND PAINTED IN ACCORDANCE WITH SAM",baffle; patch,cracks,painted
103498,CYLINDER NUMBER ONE FORWARD BAFFLE SEAL IS TORN LOOSE FROM FASTENER . REMOVED AND REPLACED BAFFLE SEAL FASTENER .,cylinder; baffle seal; fastener; baffle seal fastener,torn; torn loose; loose,removed; replaced
103499,"NUMBERS ONE , TWO , THREE AND FOUR INTAKE GASKETS ARE LEAKING . REPLACED WITH NEW INTAKE GASKETS .",intake gaskets,leaking,replaced
103500,LEFT AND RIGHT SIDE BAFFLE PLUGS LOOSE . REMOVED AND REPLACED WITH NEW BAFFLE PLUGS .,baffle plugs,loose,removed; replaced
103501,"LEFT-HAND ENGINE , NUMBER THREE INTAKE TUBE GASKET LEAKING . REMOVED AND REPLACED INTAKE GASKET .",engine; intake tube gasket; intake gasket,leaking,removed; replaced
103502,LEFT ENGINE NUMBER THREE INTAKE LEAKING . REPLACED GASKET .,engine; intake; gasket,leaking,replaced
103503,NUMBER FOUR CYLINDER INTAKE GASKET IS LEAKING . REMOVED AND REPLACED GASKET .,cylinder; intake gasket; gasket,leaking,removed; replaced
103504,NUMBER ONE CYLINDER FORWARD BAFFLE SEAL HAS A HOLE WORN IN IT . REPAIRED WITH HIGH TEMPERATURE SILICONE .,cylinder; baffle seal; hole; high temperature silicone,worn,repaired
103505,"NUMBER ONE ROCKER COVER LEAKING . REMOVED , CLEANED AND REPLACED WITH NE GASKET .",rocker cover; gasket,leaking,removed; cleaned; replaced
103506,"NUMBER TWO , AND NUMBER THREE INTAKE GASKETS LEAKING . REMOVED AND REPLACED WITH NEW INTAKE GASKETS .",intake gaskets,leaking,removed; replaced
103507,LEFT-HAND AND RIGHT-HAND BAFFLE PLUGS LOOSE AND BROKEN . REMOVED AND REPLACED WITH NEW BAFFLE PLUGS .,baffle plugs,loose; broken,removed; replaced
103508,CYLINDER NUMBER FOUR INTAKE LEAKING . REMOVED AND REPLACED INTAKE GASKET .,cylinder; intake; intake gasket,leaking,removed; replaced
103509,"UPON RUN UP , HAD MAGNETO DROP OF THIRTY HUNDRED RPM WITH AGGRESSIVE SHAKING . PERFORMED RUN UP ON ENGINE AND NOTED NORMAL INDICATIONS",magneto; engine,shaking,run up
103510,NUMBER TWO INTAKE SLIGHT LEAK . INSTALLED NEW INTAKE GASKET .,intake; intake gasket,leak,installed
103511,FORWARD LOWER BAFFLE BLACK SEAL WORN FROM INTAKE . INSTALLED RTV IN WORN AREAS .,baffle black seal; intake; rtv,worn,installed
103512,BAFFLE PLUGS ARE WORN OUT . REMOVED AND REPLACED PLUGS .,baffle plugs; plugs,worn,removed; replaced
103513,NUMBER TWO CYLINDER INTAKE GASKET LEAKING . REMOVED AND REPLACED INTAKE GASKET .,cylinder; intake gasket,leaking,removed; replaced
103514,NUMBER FOUR INTAKE TUBE GASKET LEAKING . INSTALLED NEW NUMBER FOUR INTAKE GASKET .,intake tube gasket; intake gasket,leaking,installed
103515,"LEFT-HAND ENGINE NUMBER TWO , AND NUMBER THREE CYLINDER INTAKE GASKETS LEAKING . REMOVED AND REPLACED LEFT-HAND ENGINE CYLINDER NUMBER TWO , AND NUMBER THREE INTAKE GASKETS .",engine; cylinder; intake gaskets,leaking,removed; replaced
103516,RIGHT-HAND ENGINE NUMBER THREE AND NUMBER FOUR CYLINDER INTAKE GASKETS LEAKING . REMOVED AND REPLACED RIGHT-HAND ENGINE CYLINDER NUMBER THREE AND NUMBER FOUR INTAKE GASKETS .,engine; cylinder; intake gaskets,leaking,removed; replaced
103517,NUMBER FOUR ROCKER COVER MISSING SCREW . INSTALLED MISSING SCREW .,rocker cover; screw,missing,installed
103518,"SCREW LOOSE , ONE FOR BAFFLE BEHIND OIL DIPSTICK TUBE . TIGHTENED LOOSE CYLINDER NUMBER THREE AFT BAFFLE SCREW .",screw; baffle; oil dipstick tube; cylinder; baffle screw,loose,tightened
103519,RIGHT-HAND BAFFLE PLUG LOOSE . INSTALLED NEW BAFFLE PLUG .,baffle plug,loose,installed
103520,NUMBER FOUR INTAKE GASKET LEAKING . REMOVED AND REPLACED WITH NEW GASKET .,intake gasket; gasket,leaking,removed; replaced
103521,NUMBER FOUR INTAKE LEAKING . REMOVED AND REPLACED INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
103522,LEFT-HAND NUMBER FOUR INTAKE GASKET LEAKING . REMOVED AND REPLACED GASKET .,intake gasket; gasket,leaking,removed; replaced
103523,RIGHT-HAND NUMBER ONE INTAKE GASKET LEAKING . REMOVED AND REPLACED GASKET .,intake gasket; gasket,leaking,removed; replaced
103524,NUMBER ONE INTAKE GASKET IS LEAKING . INSTALLED NEW GASKET .,intake gasket; gasket,leaking,installed
103525,NUMBER TWO AND NUMBER FOUR ROCKER GASKETS ARE LEAKING . INSTALLED NEW ROCKER BOX COVER GASKETS .,rocker gaskets; rocker box cover gaskets,leaking,installed
103526,NUMBER THREE AND NUMBER FOUR INTAKES ARE LEAKING . REPLACED INTAKE GASKETS .,intakes; intake gaskets,leaking,replaced
103527,"NUMBER ONE CYLINDER HAS LOW COMPRESSION , THIRTY OUT OF EIGHTY . RAN AIRCRAFT , OPERATIONS AND LEAK CHECK GOOD .",cylinder; aircraft,low,ran; operations; leak check
103528,"NUMBER ONE CYLINDER HAS LOW COMPRESSION , THIRTY OUT OF EIGHTY . SERVICED WITH EIGHT QUARTS OF MINERAL OIL .",cylinder; mineral oil,low,serviced
103529,"NUMBER ONE CYLINDER HAS LOW COMPRESSION , THIRTY OUT OF EIGHTY . REMOVED ROCKER COVER AND STAKED VALVE WITH NO EFFECT .",cylinder; rocker cover; valve,low,removed; staked
103530,"NUMBER ONE CYLINDER HAS LOW COMPRESSION , THIRTY OUT OF EIGHTY . REMOVED BAFFLING , EXHAUST , ALTERNATOR , AIR INTAKE ELBOW",cylinder; baffling; exhaust; alternator; intake elbow,low,removed
103531,"NUMBER ONE CYLINDER HAS LOW COMPRESSION , THIRTY OUT OF EIGHTY . REINSTALLED EXHAUST , BAFFLING , AIR INTAKE ELBOW , NUMBER ONE INT",cylinder; exhaust; baffling; intake elbow; int,low,reinstalled
103532,NUMBER TWO CYLINDER INTAKE GASKET LEAKING . REMOVED AND REPLACED CYLINDER NUMBER TWO INTAKE GASKET .,cylinder; intake gasket,leaking,removed; replaced
103533,"NUMBERS ONE , TWO , THREE AND FOUR INTAKE GASKETS LEAKING . REMOVED AND REPLACED INTAKE GASKETS .",intake gaskets,leaking,removed; replaced
103534,LEFT-HAND AND RIGHT-HAND SIDE BAFFLE PLUGS LOOSE AND BROKEN . REMOVED AND REPLACED WITH NEW BAFFLE PLUGS .,baffle plugs,loose; broken,removed; replaced
103535,NUMBER TWO AND NUMBER FOUR CYLINDER HARNESS ANCHORS ARE BROKEN . INSTALLED NEW STANDOFFS .,cylinder; harness anchors; standoffs,broken,installed
103536,RIGHT-HAND ENGINE NUMBER FOUR AFT BAFFLE CRACKED . STOP DRILLED CRACK .,engine; baffle,cracked; crack,stop drilled
103537,RIGHT-HAND ENGINE NUMBER TWO AND NUMBER FOUR INTAKE GASKETS ARE LEAKING . REMOVED AND REPLACED WITH NEW GASKETS .,engine; intake gaskets; gaskets,leaking,removed; replaced
103538,ALL FOUR INTAKE GASKETS ON LEFT-HAND ENGINE ARE LEAKING . REMOVED AND REPLACED WITH NEW GASKETS .,intake gaskets; engine; gaskets,leaking,removed; replaced
103539,LUECO MARKINGS REQUIRED . MARKED ENGINE AND CYLINDERS .,lueco; engine; cylinders,markings,marked
103540,LEFT-HAND NUMBER FOUR INTAKE GASKET LEAKING . REMOVED AND REPLACED WITH NEW GASKET .,intake gasket; gasket,leaking,removed; replaced
103541,RIGHT-HAND NUMBER ONE INTAKE GASKET LEAKING . REMOVED AND REPLACED WITH NEW GASKET .,intake gasket; gasket,leaking,removed; replaced
103542,NUMBER THREE AND NUMBER FOUR INTAKE LEAKING ON RIGHT-HAND ENGINE . REMOVED AND REPLACED INTAKE GASKETS .,intake; engine; intake gaskets,leaking,removed; replaced
103543,"ENGINE QUIT AT IDLE , LOW RPM DURING TAXI , SMALL ADJUSTMENTS ATTEMPTED TO START ENGINE SEVERAL TIMES WITH NO SUCCESS .",engine,low; quit,attempted to start
103544,LEFT-HAND ENGINE NUMBER TWO AND NUMBER THREE INTAKES ARE LEAKING . REPLACED NUMBER THREE GASKET .,engine; intakes; gasket,leaking,replaced
103545,RIGHT-HAND ENGINE NUMBER ONE AND NUMBER THREE ROCKER COVERS ARE LEAKING . LEAK CHECK GOOD .,engine; rocker covers,leaking,leak check
103546,"RIGHT-HAND ENGINE NUMBER FOUR INTAKE IS LEAKING . REPLACED GASKET , CLEANED AREA .",engine; intake; gasket,leaking,replaced; cleaned
103547,RIGHT-HAND ENGINE NUMBER ONE AND NUMBER THREE ROCKER COVERS ARE LEAKING . REPLACED BOTH GASKETS .,engine; rocker covers; gaskets,leaking,replaced
103548,LEFT-HAND ENGINE NUMBER TWO AND NUMBER THREE INTAKES ARE LEAKING . REMOVED AND REPLACED NUMBER TWO GASKET .,engine; intakes; gasket,leaking,removed; replaced
103549,LEFT-HAND ENGINE NUMBER FOUR CYLINDER HAS NO COMPRESSION . REMOVED ROCKER COVER AND STAKED VALVE WITH NO EFFORT .,engine; cylinder; rocker cover; valve,no compression,removed; staked
103550,"LEFT-HAND ENGINE NUMBER FOUR CYLINDER HAS NO COMPRESSION . REMOVED NUMBER FOUR CYLINDER BAFFLES , OIL LINES AND OIL COOLER . REMOVED",engine; cylinder; baffles; oil lines; oil cooler,no compression,removed
103551,LEFT-HAND ENGINE NUMBER FOUR CYLINDER HAS NO COMPRESSION . COMPLETED REINSTALLATION OF CYLINDER NUMBER FOUR BAFFLING . REINSTALLE,engine; cylinder; baffling,no compression,completed reinstallation
103552,NUMBER TWO INTAKE GASKET LEAKING . REMOVED AND REPLACED WITH NEW GASKET .,intake gasket; gasket,leaking,removed; replaced
103553,NUMBER FOUR ROCKER GASKET LEAKING . REMOVED AND REPLACED WITH NEW GASKET .,rocker gasket; gasket,leaking,removed; replaced
103554,NUMBER TWO INTAKE LEAKING . REMOVED AND REPLACED NUMBER TWO INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
103555,START ASSIST . STARTED AIRCRAFT FOR PILOT .,aircraft,,start assist; started
103556,"NUMBERS ONE , TWO , THREE , AND FOUR INTAKE GASKETS LEAKING . REMOVED AND REPLACED WITH NEW GASKETS .",intake gaskets; gaskets,leaking,removed; replaced
103557,"NUMBER FOUR INTAKE , OUTBOARD BOLT LOCK WASHER WRONG POSITION . INSTALLED NEW LOCK WASHER TO CORRECT POSITION .",intake; bolt; washer; lock washer,wrong position,installed
103558,"NUMBER FOUR INTAKE GASKET LEAKING , RIGHT-HAND ENGINE . REPLACED GASKET .",intake gasket; engine; gasket,leaking,replaced
103559,RIGHT-HAND ENGINE NUMBER THREE BAFFLE SEAL SECTION LOOSE . REMOVED AND REPLACED BAFFLE SEAL .,engine; baffle seal section; baffle seal,loose,removed; replaced
103560,"ENGINE BAFFLE CRACKED , BEHIND NUMBER THREE CYLINDER , RIGHT-HAND ENGINE . STOP DRILLED CRACK .",engine; baffle; cylinder,cracked; crack,stop drilled
103561,NUMBER FOUR INTAKE GASKET LEAKING . REMOVED AND REPLACED NUMBER FOUR INTAKE GASKET .,intake gasket,leaking,removed; replaced
103562,NUMBER THREE AND NUMBER FOUR ROCKER COVER GASKETS LEAKING . REMOVED AND REPLACED ROCKER COVER GASKETS .,rocker cover gaskets,leaking,removed; replaced
103563,SCREW MISSING ON NUMBER ONE OUTER CYLINDER BAFFLING . REPLACED MISSING SCREW WITH REQUIRED HARDWARE .,screw; cylinder baffling; hardware,missing,replaced
103564,AFT CRANKCASE SPIN BOLT MISSING NUT . INSTALLED NUT AND WASHER . TORQUED .,crankcase spin bolt; nut; washer,missing,installed; torqued
103565,RIGHT-HAND SIDE BAFFLE PLUG LOOSE WITH TABS BROKEN . REMOVED AND REPLACED WITH NEW BAFFLE PLUG .,baffle plug; tabs,loose; broken,removed; replaced
103566,THROTTLE AT IDLE ENGINE . RAN ROUGH . RAN UP ENGINE TO OPERATING TEMPERATURES . ENGINE IDLE SPEED AND M,throttle; engine,ran rough,ran up
103567,RIGHT-HAND ENGINE REAR BAFFLE MOUNTING SCREW LOOSE . TIGHTENED SCREW .,engine; baffle mounting screw; screw,loose,tightened
103568,NUMBER ONE INDUCTION TUBE GASKET LEAKING . REMOVED AND REPLACED NUMBER ONE INTAKE GASKET .,induction tube gasket; intake gasket,leaking,removed; replaced
103569,"CYLINDER NUMBERS TWO , THREE AND FOUR ROCKER COVER GASKETS ARE LEAKING . REMOVED AND REPLACED GASKETS .",cylinder; rocker cover gaskets; gaskets,leaking,removed; replaced
103570,TOP OF ENGINE CRANKCASE IS LEAKING OIL THROUGH TWO MIDDLE THRO REMOVED BOLTS FROM WHERE OIL WAS LEAKING . CLEANED BOLT,engine; crankcase; oil through; bolts; oil; bolt,leaking,removed; cleaned
103571,"RIGHT-HAND ENGINE , RIGHT-HAND REAR BAFFLE CRACKED . STOP DRILLED CRACK .",engine; baffle,cracked; crack,stop drilled
103572,"RIGHT-HAND ENGINE , LEFT-HAND REAR BAFFLE SUPPORT CRACKED . STOP DRILLED CRACK .",engine; baffle support,cracked; crack,stop drilled
103573,LEFT-HAND ENGINE NUMBER TWO AND NUMBER THREE INTAKE GASKETS LEAKING . REMOVED AND REPLACED INTAKE GASKETS .,engine; intake gaskets,leaking,removed; replaced
103574,NUMBER FOUR BAFFLE HAS LOOSE HARDWARE ON RIGHT-HAND ENGINE . TIGHTENED HARDWARE .,baffle; hardware; engine,loose,tightened
103575,INTAKES NUMBER TWO AND NUMBER FOUR LEAKING ON RIGHT-HAND ENGINE . INSTALLED NEW INTAKE GASKETS .,intakes; engine; intake gaskets,leaking,installed
103576,NUMBER FOUR RUBBER BAFFLE SEAL TORN ON RIGHT-HAND ENGINE . REATTACHED RUBBER BAFFLE SEAL .,rubber baffle seal; engine,torn,reattached
103577,"INTAKES NUMBERS TWO , THREE AND FOUR ARE LEAKING ON LEFT-HAND ENGINE . REMOVED AND REPLACED INTAKE GASKETS .",intakes; engine; intake gaskets,leaking,removed; replaced
103578,CYLINDER NUMBER TWO INTAKE LEAKING . REMOVED AND REPLACED INTAKE GASKET .,cylinder; intake; intake gasket,leaking,removed; replaced
103579,CYLINDER NUMBER FOUR ROCKER COVER GASKET LEAKING . REPLACED ROCKER COVER GASKET .,cylinder; rocker cover gasket,leaking,replaced
103580,NUMBER FOUR CYLINDER BAFFLE INSPECTION HOLE DOUBLER REQUIRED . INSTALLED BAFFLE INSP HOLE DOUBLER IN ACCORDANCE WITH SE STANDARD REFERENCE MATERIAL 51,cylinder; baffle inspection hole doubler; baffle insp hole doubler,,installed
103581,LEFT ENGINE BLEED AIR LINE CHAFING . REPOSITIONED LINE .,engine; air line; line,chafing,bleed; repositioned
103582,LEFT-HAND AFT COWL INBOARD ACCESS PANEL SCREW STRIPPED . REMOVED SCREW AND REPLACED WITH NEW .,cowl; access panel screw; screw,stripped,removed; replaced
103583,"LEFT-HAND ENGINE REPORTED AS SMOKING AFTER SHUTDOWN . INSPECTED PURGE SYSTEM , CHECKED OK .",engine; purge system,smoking,inspected; checked
103584,NUMBER ONE AND NUMBER FOUR INTAKE GASKETS LEAKING . REMOVED AND REPLACED INTAKE GASKETS .,intake gaskets,leaking,removed; replaced
103585,NUMBER TWO AND NUMBER THREE ROCKER COVER GASKETS LEAKING . REMOVED AND REPLACED ROCKER COVER GASKETS .,rocker cover gaskets,leaking,removed; replaced
103586,NUMBER ONE AND NUMBER TWO INTAKE GASKETS LEAKING . REMOVED AND REPLACED INTAKE GASKETS .,intake gaskets,leaking,removed; replaced
103587,RIGHT-HAND ENGINE ROUGH DURING TAXI . RAN AIRCRAFT AND CONFIRMED DISCREPANCY . INSPECTED NUMBER THREE CYLINDER WITH BORESC,engine; aircraft; cylinder,rough,ran; confirmed; inspected
103588,CYLINDER NUMBER ONE ROCKER GASKET LEAKING . REMOVED AND REPLACED GASKET .,cylinder; rocker gasket; gasket,leaking,removed; replaced
103589,NUMBER ONE INTAKE GASKET LEAKING . REMOVED AND REPLACED INTAKE GASKET .,intake gasket,leaking,removed; replaced
103590,NUMBER ONE ROCKER COVER GASKET LEAKING . REMOVED AND REPLACED ROCKER COVER GASKET .,rocker cover gasket,leaking,removed; replaced
103591,START ASSIST . STARTED AIRCRAFT FOR PILOT .,aircraft,,start assist; started
103592,NUMBER TWO INTAKE GASKET LEAKING . REPLACED GASKET .,intake gasket; gasket,leaking,replaced
103593,NUMBER TWO INTAKE GASKET LEAKING . REMOVED AND REPLACED WITH NEW GASKET .,intake gasket; gasket,leaking,removed; replaced
103594,NUMBER TWO INTAKE LEAKING . REMOVED AND REPLACED NUMBER TWO INTAKE GASKET .,intake; intake gasket,leaking,removed; replaced
103595,NUMBER TWO INTAKE LEAKS . REMOVED AND REPLACED WITH NEW INTAKE GASKET .,intake; intake gasket,leaks,removed; replaced
103596,NUMBER TWO AND NUMBER FOUR INTAKE GASKETS LEAKING . REMOVED AND REPLACED INTAKE GASKETS .,intake gaskets,leaking,removed; replaced
103597,NUMBER THREE AND NUMBER FOUR ROCKER COVER GASKETS LEAKING . REMOVED AND REPLACED ROCKER COVER GASKETS .,rocker cover gaskets,leaking,removed; replaced
103598,LEFT-HAND ENGINE BAFFLE CRACKED . FABRICATED PATCH FOR SIDE BAFFLE . DRILLED AND RIVETED PAT,engine; baffle; patch,cracked,fabricated; drilled; riveted
103599,"RIGHT-HAND NUMBER THREE ROCKER COVER LEAKING . REMOVED , CLEANED AND INSTALLED NEW GASKET .",rocker cover; gasket,leaking,removed; cleaned; installed
103600,RIGHT-HAND ENGINE NUMBER FOUR INTAKE GASKET LEAKING . REMOVED AND REPLACED WITH NEW GASKET .,engine; intake gasket; gasket,leaking,removed; replaced
103601,"LEFT-HAND ENGINE NUMBERS TWO , THREE , AND FOUR INTAKE GASKETS LEAKING . REMOVED AND REPLACED INTAKE GASKETS WITH NEW .",engine; intake gaskets,leaking,removed; replaced
103602,NUMBER TWO INTAKE GASKET LEAKING . INSTALLED NEW NUMBER TWO INTAKE GASKET .,intake gasket,leaking,installed
103603,NUMBER THREE ROCKER COVER GASKET LEAKING . REMOVED AND REPLACED GASKET .,rocker cover gasket; gasket,leaking,removed; replaced
103604,NUMBER TWO INTAKE GASKET LEAKING . REMOVED AND REPLACED INTAKE GASKET .,intake gasket,leaking,removed; replaced
103605,LEFT-HAND ENGINE NUMBER FOUR CYLINDER INTAKE GASKET IS LEAKING . REMOVED AND REPLACED GASKET .,engine; cylinder; intake gasket; gasket,leaking,removed; replaced
103606,LEFT-HAND ENGINE NUMBER FOUR CYLINDER SIDE BAFFLE IS MISSING A BOLT . INSTALLED NEW HARDWARE .,engine; cylinder; baffle; bolt; hardware,missing,installed
103607,RIGHT-HAND ENGINE NUMBER FOUR CYLINDER ROCKER COVER GASKET IS LEAKING . REMOVED AND REPLACED GASKET .,engine; cylinder; rocker cover gasket; gasket,leaking,removed; replaced
103608,LEFT-HAND ENGINE NUMBER TWO AND NUMBER FOUR CYLINDER ROCKER COVER GASKETS ARE LEAKING . REMOVED AND REPLACED GASKETS .,engine; cylinder; rocker cover gaskets; gaskets,leaking,removed; replaced
103609,"NUMBER THREE ROCKER COVER GASKET LEAKING . REMOVED , CLEANED AND INSTALLED NEW GASKET .",rocker cover gasket; gasket,leaking,removed; cleaned; installed
103610,"COWL SEAL , ABOVE NUMBER THREE CYLINDER BAFFLE , FELL OFF RIVET . REMOVED AND REPLACED RIVET .",cowl seal; cylinder; baffle; rivet,,removed; replaced
103611,"NUMBER THREE INTAKE GASKET LEAKS ON LEFT-HAND ENGINE . REMOVED , CLEANED AND INSTALLED NEW GASKET .",intake gasket; engine; gasket,leaks,removed; cleaned; installed
103612,NUMBER TWO AND NUMBER FOUR INTAKE GASKETS LEAKING ON RIGHT-HAND ENGINE . REMOVED AND REPLACED WITH NEW GASKETS .,intake gaskets; engine; gaskets,leaking,removed; replaced
103613,"RIGHT-HAND ENGINE , RIGHT-HAND FRONT ENGINE BAFFLE SEAL NEEDS TO BE RESECUR RESECURED RIGHT-HAND ENGINE , RIGHT-HAND FRONT ENGINE BAFFLE SEAL .",engine; baffle seal,,resecured
103614,"LEFT-HAND NUMBERS TWO , THREE AND FOUR INTAKE TUBE GASKETS LEAKING . REPLACED LEFT-HAND NUMBERS TWO , THREE , AND FOUR INTAKE GASKETS .",intake tube gaskets; intake gaskets,leaking,replaced
103615,BOTH BAFFLE PLUG TABS BROKEN OFF . INSTALLED NEW PLUGS .,baffle plug; tabs; plugs,broken,installed
103616,NUMBER TWO AND NUMBER FOUR CYLINDER INTAKE GASKETS LEAKING . REMOVED AND REPLACED INTAKE GASKETS .,cylinder; intake gaskets,leaking,removed; replaced
103617,ROCKER BOX COVER SCREWS LOOSE . TIGHTENED SCREWS .,rocker box cover screws; screws,loose,tightened
103618,NUMBER FOUR CYLINDER HARNESS CLAMP BROKEN . INSTALLED NEW CLAMP .,cylinder; harness clamp; clamp,broken,installed
103619,NUMBER THREE AND NUMBER FOUR ROCKER COVER GASKETS ARE LEAKING . REMOVED AND REPLACED WITH NEW GASKETS .,rocker cover gaskets; gaskets,leaking,removed; replaced
103620,"DEPARTING 17L AT 2450 LBS , DURING CLIMB OUT AT 2000 FEET MSL , WERE PERFORMD FULL GROUND RUN , NO DEFECTS NOTED . MAINTENANCE FLIGHT",,,ground run; maintenance flight
103621,NUMBER FOUR INTAKE GASKET IS LEAKING . REMOVED AND REPLACED WITH NEW GASKET .,intake gasket; gasket,leaking,removed; replaced
103622,SCREW MISSING ON NUMBER THREE BAFFLE BRACKET . FOUND SCREW AND REINSTALLED .,screw; baffle bracket,missing,found; reinstalled
103623,"FOUND BROKEN COVER SCREW ON GROUND . REMOVED COWL , ALL SCREWS ACCOUNTED FOR . REPLACED COWL .",cover screw; cowl; screws,broken,removed; replaced
103624,LEFT-HAND FORWARD NUMBER TWO ENGINE BAFFLE CRACKED . STOP DRILLED CRACK .,engine; baffle,cracked; crack,stop drilled
103625,NUMBER ONE AND NUMBER TWO INTAKE GASKETS LEAKING . REMOVED AND REPLACED INTAKE GASKETS .,intake gaskets,leaking,removed; replaced
103626,NUMBER FOUR ROCKER GASKET LEAKING . TIGHTENED LOOSE BOLTS .,rocker gasket; bolts,loose; leaking,tightened
103627,NUMBER TWO CYLINDER BAFFLE SEAL NEEDS TO BE SECURED . RESECURED CYLINDER NUMBER TWO SIDE BAFFLE SEAL .,cylinder; baffle seal,,secured; resecured
